episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
403,bfs_policy,pac,3246.0,354,0,0,1,403
404,bfs_policy,pac,3633.0,367,0,0,1,404
405,bfs_policy,pac,3468.0,332,0,0,1,405
406,bfs_policy,pac,3256.0,344,0,0,1,406
407,bfs_policy,pac,3267.0,333,1,0,1,407
408,bfs_policy,pac,3672.0,328,0,0,1,408
409,bfs_policy,pac,2855.0,345,2,0,1,409
410,bfs_policy,pac,3250.0,350,0,0,1,410
411,bfs_policy,pac,2861.0,339,2,0,1,411
412,bfs_policy,pac,3261.0,339,0,0,1,412
413,bfs_policy,pac,3052.0,348,1,0,1,413
414,bfs_policy,pac,3268.0,332,0,0,1,414
415,bfs_policy,pac,3035.0,365,2,0,1,415
416,bfs_policy,pac,3032.0,368,1,0,1,416
417,bfs_policy,pac,3222.0,378,2,0,1,417
418,bfs_policy,pac,3250.0,350,0,0,1,418
419,bfs_policy,pac,3268.0,332,1,0,1,419
420,bfs_policy,pac,3201.0,399,2,0,1,420
421,bfs_policy,pac,3262.0,338,0,0,1,421
422,bfs_policy,pac,1044.0,246,4,43,0,422
423,bfs_policy,pac,3068.0,332,1,0,1,423
424,bfs_policy,pac,3435.0,365,0,0,1,424
425,bfs_policy,pac,3033.0,367,1,0,1,425
426,bfs_policy,pac,3033.0,367,2,0,1,426
427,bfs_policy,pac,3432.0,368,0,0,1,427
428,bfs_policy,pac,3478.0,322,0,0,1,428
429,bfs_policy,pac,3230.0,370,0,0,1,429
430,bfs_policy,pac,3247.0,353,1,0,1,430
431,bfs_policy,pac,3254.0,346,0,0,1,431
432,bfs_policy,pac,2848.0,352,2,0,1,432
433,bfs_policy,pac,2843.0,357,2,0,1,433
434,bfs_policy,pac,3024.0,376,1,0,1,434
435,bfs_policy,pac,3268.0,332,0,0,1,435
436,bfs_policy,pac,1282.0,318,4,16,0,436
437,bfs_policy,pac,3258.0,342,0,0,1,437
438,bfs_policy,pac,3462.0,338,0,0,1,438
439,bfs_policy,pac,3261.0,339,1,0,1,439
440,bfs_policy,pac,3850.0,350,0,0,1,440
441,bfs_policy,pac,2846.0,354,2,0,1,441
442,bfs_policy,pac,3468.0,332,0,0,1,442
443,bfs_policy,pac,3444.0,356,0,0,1,443
444,bfs_policy,pac,3244.0,356,2,0,1,444
445,bfs_policy,pac,3024.0,376,2,0,1,445
446,bfs_policy,pac,3258.0,342,0,0,1,446
447,bfs_policy,pac,3071.0,329,2,0,1,447
448,bfs_policy,pac,2871.0,329,2,0,1,448
449,bfs_policy,pac,3058.0,342,1,0,1,449
450,bfs_policy,pac,2651.0,349,3,0,1,450
451,bfs_policy,pac,2840.0,360,2,0,1,451
452,bfs_policy,pac,3214.0,386,0,0,1,452
453,bfs_policy,pac,3454.0,346,0,0,1,453
454,bfs_policy,pac,2873.0,327,2,0,1,454
455,bfs_policy,pac,2864.0,336,2,0,1,455
456,bfs_policy,pac,2653.0,347,3,0,1,456
457,bfs_policy,pac,3454.0,346,0,0,1,457
458,bfs_policy,pac,2569.0,431,3,0,1,458
459,bfs_policy,pac,3484.0,316,0,0,1,459
460,bfs_policy,pac,3238.0,362,0,0,1,460
461,bfs_policy,pac,3083.0,317,2,0,1,461
462,bfs_policy,pac,3270.0,330,0,0,1,462
463,bfs_policy,pac,3469.0,331,0,0,1,463
464,bfs_policy,pac,3050.0,350,2,0,1,464
465,bfs_policy,pac,3068.0,332,2,0,1,465
466,bfs_policy,pac,3200.0,400,0,0,1,466
467,bfs_policy,pac,3862.0,338,1,0,1,467
468,bfs_policy,pac,1801.0,359,4,4,0,468
469,bfs_policy,pac,3230.0,370,0,0,1,469
470,bfs_policy,pac,3482.0,318,0,0,1,470
471,bfs_policy,pac,2838.0,362,2,0,1,471
472,bfs_policy,pac,1333.0,307,4,16,0,472
473,bfs_policy,pac,2860.0,340,2,0,1,473
474,bfs_policy,pac,3425.0,375,1,0,1,474
475,bfs_policy,pac,3250.0,350,0,0,1,475
476,bfs_policy,pac,3620.0,380,0,0,1,476
477,bfs_policy,pac,3270.0,330,1,0,1,477
478,bfs_policy,pac,2644.0,356,3,0,1,478
479,bfs_policy,pac,3244.0,356,0,0,1,479
480,bfs_policy,pac,3248.0,352,0,0,1,480
481,bfs_policy,pac,3838.0,362,0,0,1,481
482,bfs_policy,pac,3422.0,378,0,0,1,482
483,bfs_policy,pac,3240.0,360,0,0,1,483
484,bfs_policy,pac,3456.0,344,0,0,1,484
485,bfs_policy,pac,3230.0,370,0,0,1,485
486,bfs_policy,pac,2831.0,369,2,0,1,486
487,bfs_policy,pac,3232.0,368,0,0,1,487
488,bfs_policy,pac,3248.0,352,0,0,1,488
489,bfs_policy,pac,3061.0,339,1,0,1,489
490,bfs_policy,pac,3257.0,343,1,0,1,490
491,bfs_policy,pac,3270.0,330,0,0,1,491
492,bfs_policy,pac,3048.0,352,2,0,1,492
493,bfs_policy,pac,1173.0,317,4,27,0,493
494,bfs_policy,pac,3254.0,346,0,0,1,494
495,bfs_policy,pac,2620.0,380,3,0,1,495
496,bfs_policy,pac,4017.0,383,0,0,1,496
497,bfs_policy,pac,3228.0,372,1,0,1,497
498,bfs_policy,pac,3258.0,342,1,0,1,498
499,bfs_policy,pac,3421.0,379,0,0,1,499
500,bfs_policy,pac,3464.0,336,0,0,1,500
501,bfs_policy,pac,3284.0,316,0,0,1,501
502,bfs_policy,pac,3240.0,360,0,0,1,502
503,bfs_policy,pac,3454.0,346,0,0,1,503
504,bfs_policy,pac,2862.0,338,2,0,1,504
505,bfs_policy,pac,3250.0,350,0,0,1,505
506,bfs_policy,pac,1186.0,284,4,29,0,506
507,bfs_policy,pac,3230.0,370,1,0,1,507
508,bfs_policy,pac,3070.0,330,2,0,1,508
509,bfs_policy,pac,2850.0,350,2,0,1,509
510,bfs_policy,pac,3036.0,364,1,0,1,510
511,bfs_policy,pac,3262.0,338,0,0,1,511
512,bfs_policy,pac,3266.0,334,0,0,1,512
