episode,policy,board,total_reward,steps,deaths,remaining_pellets,won,seed
312,mdp_policy,pac,3662.0,338,0,0,1,312
313,mdp_policy,pac,3020.0,380,3,0,1,313
314,mdp_policy,pac,2798.0,402,2,0,1,314
315,mdp_policy,pac,2814.0,386,2,0,1,315
316,mdp_policy,pac,1850.0,500,2,1,0,316
317,mdp_policy,pac,713.0,207,4,80,0,317
318,mdp_policy,pac,3053.0,347,1,0,1,318
319,mdp_policy,pac,3443.0,357,1,0,1,319
320,mdp_policy,pac,3442.0,358,0,0,1,320
321,mdp_policy,pac,3055.0,345,2,0,1,321
322,mdp_policy,pac,3464.0,336,0,0,1,322
323,mdp_policy,pac,3376.0,424,1,0,1,323
324,mdp_policy,pac,1209.0,331,4,22,0,324
325,mdp_policy,pac,3269.0,331,1,0,1,325
326,mdp_policy,pac,2878.0,322,2,0,1,326
327,mdp_policy,pac,3470.0,330,0,0,1,327
328,mdp_policy,pac,3345.0,455,0,0,1,328
329,mdp_policy,pac,3037.0,363,1,0,1,329
330,mdp_policy,pac,3220.0,380,1,0,1,330
331,mdp_policy,pac,2098.0,472,4,3,0,331
332,mdp_policy,pac,3405.0,395,0,0,1,332
333,mdp_policy,pac,1722.0,338,4,14,0,333
334,mdp_policy,pac,3223.0,377,1,0,1,334
335,mdp_policy,pac,3104.0,496,0,0,1,335
336,mdp_policy,pac,3235.0,365,0,0,1,336
337,mdp_policy,pac,2270.0,500,0,3,0,337
338,mdp_policy,pac,3242.0,358,1,0,1,338
339,mdp_policy,pac,3248.0,352,0,0,1,339
340,mdp_policy,pac,1770.0,500,2,13,0,340
341,mdp_policy,pac,2775.0,425,3,0,1,341
342,mdp_policy,pac,2827.0,373,3,0,1,342
343,mdp_policy,pac,3268.0,332,0,0,1,343
344,mdp_policy,pac,3055.0,345,1,0,1,344
345,mdp_policy,pac,3032.0,368,2,0,1,345
346,mdp_policy,pac,3848.0,352,0,0,1,346
347,mdp_policy,pac,3397.0,403,0,0,1,347
348,mdp_policy,pac,3007.0,393,1,0,1,348
349,mdp_policy,pac,2793.0,407,2,0,1,349
350,mdp_policy,pac,2832.0,368,2,0,1,350
351,mdp_policy,pac,3409.0,391,0,0,1,351
352,mdp_policy,pac,3666.0,334,0,0,1,352
353,mdp_policy,pac,2030.0,500,0,7,0,353
354,mdp_policy,pac,2777.0,423,2,0,1,354
355,mdp_policy,pac,3424.0,376,0,0,1,355
356,mdp_policy,pac,3030.0,370,1,0,1,356
357,mdp_policy,pac,2840.0,360,2,0,1,357
358,mdp_policy,pac,3430.0,370,0,0,1,358
359,mdp_policy,pac,2836.0,364,2,0,1,359
360,mdp_policy,pac,2843.0,357,3,0,1,360
361,mdp_policy,pac,3232.0,368,1,0,1,361
362,mdp_policy,pac,1632.0,348,4,2,0,362
363,mdp_policy,pac,2843.0,357,2,0,1,363
364,mdp_policy,pac,3014.0,386,3,0,1,364
365,mdp_policy,pac,1072.0,258,4,63,0,365
366,mdp_policy,pac,3230.0,370,0,0,1,366
367,mdp_policy,pac,3266.0,334,0,0,1,367
368,mdp_policy,pac,3258.0,342,1,0,1,368
369,mdp_policy,pac,3248.0,352,0,0,1,369
370,mdp_policy,pac,3423.0,377,0,0,1,370
371,mdp_policy,pac,3409.0,391,0,0,1,371
372,mdp_policy,pac,3175.0,425,1,0,1,372
373,mdp_policy,pac,3053.0,347,2,0,1,373
374,mdp_policy,pac,3647.0,353,0,0,1,374
375,mdp_policy,pac,3406.0,394,0,0,1,375
376,mdp_policy,pac,2829.0,371,3,0,1,376
377,mdp_policy,pac,3413.0,387,0,0,1,377
378,mdp_policy,pac,3410.0,390,0,0,1,378
379,mdp_policy,pac,2804.0,396,2,0,1,379
380,mdp_policy,pac,946.0,214,4,56,0,380
381,mdp_policy,pac,3638.0,362,2,0,1,381
382,mdp_policy,pac,3441.0,359,1,0,1,382
383,mdp_policy,pac,3454.0,346,0,0,1,383
384,mdp_policy,pac,3454.0,346,0,0,1,384
385,mdp_policy,pac,2649.0,351,3,0,1,385
386,mdp_policy,pac,3452.0,348,0,0,1,386
387,mdp_policy,pac,3613.0,387,0,0,1,387
388,mdp_policy,pac,3842.0,358,0,0,1,388
389,mdp_policy,pac,2460.0,500,0,4,0,389
390,mdp_policy,pac,3261.0,339,1,0,1,390
391,mdp_policy,pac,3662.0,338,0,0,1,391
392,mdp_policy,pac,2822.0,378,2,0,1,392
393,mdp_policy,pac,3070.0,330,1,0,1,393
394,mdp_policy,pac,3240.0,360,0,0,1,394
395,mdp_policy,pac,2816.0,384,3,0,1,395
396,mdp_policy,pac,3249.0,351,0,0,1,396
397,mdp_policy,pac,2828.0,372,3,0,1,397
398,mdp_policy,pac,3633.0,367,0,0,1,398
399,mdp_policy,pac,3052.0,348,1,0,1,399
400,mdp_policy,pac,3208.0,392,0,0,1,400
401,mdp_policy,pac,3630.0,370,0,0,1,401
402,mdp_policy,pac,3045.0,355,1,0,1,402
403,mdp_policy,pac,3058.0,342,2,0,1,403
404,mdp_policy,pac,1571.0,359,4,7,0,404
405,mdp_policy,pac,2864.0,336,2,0,1,405
406,mdp_policy,pac,2865.0,335,3,0,1,406
407,mdp_policy,pac,3535.0,465,0,0,1,407
408,mdp_policy,pac,3402.0,398,0,0,1,408
409,mdp_policy,pac,3068.0,332,1,0,1,409
410,mdp_policy,pac,3415.0,385,0,0,1,410
411,mdp_policy,pac,2837.0,363,2,0,1,411
412,mdp_policy,pac,3253.0,347,1,0,1,412
413,mdp_policy,pac,2871.0,329,2,0,1,413
414,mdp_policy,pac,3847.0,353,0,0,1,414
415,mdp_policy,pac,3068.0,332,1,0,1,415
416,mdp_policy,pac,3628.0,372,0,0,1,416
417,mdp_policy,pac,3217.0,383,1,0,1,417
418,mdp_policy,pac,2823.0,377,3,0,1,418
419,mdp_policy,pac,3018.0,382,2,0,1,419
420,mdp_policy,pac,3373.0,427,0,0,1,420
421,mdp_policy,pac,1854.0,496,4,1,0,421
422,mdp_policy,pac,3056.0,344,1,0,1,422
423,mdp_policy,pac,2819.0,381,2,0,1,423
424,mdp_policy,pac,3226.0,374,2,0,1,424
425,mdp_policy,pac,3445.0,355,0,0,1,425
426,mdp_policy,pac,3027.0,373,2,0,1,426
427,mdp_policy,pac,3035.0,365,1,0,1,427
428,mdp_policy,pac,3232.0,368,0,0,1,428
429,mdp_policy,pac,2861.0,339,2,0,1,429
430,mdp_policy,pac,3433.0,367,1,0,1,430
431,mdp_policy,pac,2843.0,357,2,0,1,431
432,mdp_policy,pac,3054.0,346,2,0,1,432
433,mdp_policy,pac,3046.0,354,1,0,1,433
434,mdp_policy,pac,1717.0,423,4,6,0,434
435,mdp_policy,pac,3440.0,360,0,0,1,435
436,mdp_policy,pac,3242.0,358,0,0,1,436
437,mdp_policy,pac,3233.0,367,0,0,1,437
438,mdp_policy,pac,2779.0,421,3,0,1,438
439,mdp_policy,pac,3062.0,338,1,0,1,439
440,mdp_policy,pac,3042.0,358,1,0,1,440
441,mdp_policy,pac,3456.0,344,0,0,1,441
442,mdp_policy,pac,3440.0,360,1,0,1,442
